,Term,NumPostings
21,Shark,10.4203863009
17,R,8.14802791755
25,SQL,3.70069793865
5,Hadoop,3.50592436293
0,Java,3.26245739328
4,Excel,2.92160363577
9,Python,2.53205648434
12,SAS,2.33728290862
3,JavaScript,1.88281123194
13,Spark,1.42833955527
16,Tableau,1.29849050479
15,C++,0.746632040253
7,Matlab,0.665476383704
2,Scala,0.389547151436
10,SPSS,0.308391494887
18,Hive,0.227235838338
14,Ruby,0.146080181789
22,MongoDB,0.113617919169
6,Perl,0.0973867878591
1,NoSQL,0.0811556565493
23,MapReduce,0.0649245252394
11,Oozie,0.0324622626197
20,D3.js,0.0324622626197
24,Pig,0.0324622626197
26,D3,0.0324622626197
27,Cassandra,0.0324622626197
19,HBase,0.0162311313099
8,Flume,0.0162311313099
